epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6868,1.39299,2.65758,1.29712,0.77707,0.16438,0.23459,0.16173,1.18194,2.63695,1.15366,0.000546406,0.000546406,0.000546406
2,24.9584,1.31789,1.93855,1.20627,0.35282,0.36715,0.28214,0.18016,1.21182,2.21554,1.17931,0.0010948,0.0010948,0.0010948
3,36.2482,1.33509,1.85005,1.19791,0.32476,0.36123,0.26327,0.16757,1.29863,2.13883,1.26724,0.00163586,0.00163586,0.00163586
4,47.0764,1.31338,1.69788,1.19866,0.28919,0.27876,0.22627,0.15647,1.23592,2.16097,1.23567,0.00163399,0.00163399,0.00163399
5,58.4374,1.2882,1.61479,1.18399,0.46401,0.42744,0.38048,0.24844,1.22274,1.86008,1.21026,0.00162299,0.00162299,0.00162299
6,69.7811,1.24893,1.58642,1.17352,0.3626,0.48557,0.38297,0.25277,1.11835,2.15212,1.15826,0.00161199,0.00161199,0.00161199
7,80.8794,1.23572,1.50476,1.15998,0.34837,0.63056,0.43436,0.27594,1.17271,2.26339,1.16767,0.00160099,0.00160099,0.00160099
8,92.0918,1.26681,1.48435,1.16674,0.43151,0.50659,0.44833,0.30473,1.08586,1.51566,1.10166,0.00158998,0.00158998,0.00158998
9,103.029,1.19073,1.38943,1.13431,0.33014,0.52956,0.3828,0.27124,1.09912,1.75074,1.14108,0.00157898,0.00157898,0.00157898
10,114.251,1.18124,1.35281,1.12783,0.39803,0.53463,0.41858,0.27719,1.08625,1.85693,1.11077,0.00156798,0.00156798,0.00156798
11,125.66,1.20003,1.3787,1.13484,0.4933,0.60618,0.51147,0.33795,1.09003,1.54597,1.1079,0.00155698,0.00155698,0.00155698
12,137.095,1.19346,1.37498,1.13191,0.45592,0.49973,0.47691,0.32909,1.07476,1.41702,1.10081,0.00154598,0.00154598,0.00154598
13,148.206,1.17929,1.32124,1.12141,0.41413,0.45013,0.40724,0.28204,1.09827,1.70695,1.1131,0.00153497,0.00153497,0.00153497
14,158.969,1.16766,1.26964,1.12443,0.56361,0.51971,0.53318,0.35531,1.0732,1.44612,1.09611,0.00152397,0.00152397,0.00152397
15,170.312,1.1624,1.29928,1.11616,0.44025,0.56202,0.48871,0.32608,1.11145,1.49255,1.13513,0.00151297,0.00151297,0.00151297
16,181.341,1.15411,1.26484,1.11426,0.54206,0.56987,0.55041,0.3799,1.05186,1.34373,1.08671,0.00150197,0.00150197,0.00150197
17,192.531,1.15327,1.24706,1.10565,0.43834,0.60392,0.51606,0.35315,1.04658,1.33017,1.07999,0.00149096,0.00149096,0.00149096
18,203.053,1.14614,1.22509,1.10062,0.47704,0.6174,0.51804,0.34874,1.04435,1.34919,1.08865,0.00147996,0.00147996,0.00147996
19,214.432,1.13923,1.23448,1.09448,0.52555,0.62564,0.57012,0.39261,1.02551,1.64225,1.05865,0.00146896,0.00146896,0.00146896
20,227.121,1.14005,1.23912,1.09684,0.45054,0.57326,0.48747,0.33619,1.05353,1.62394,1.10046,0.00145796,0.00145796,0.00145796
21,239.989,1.152,1.25565,1.1062,0.46556,0.60531,0.54048,0.37444,1.05986,1.39645,1.10202,0.00144696,0.00144696,0.00144696
22,251.089,1.11519,1.16899,1.09412,0.50734,0.51126,0.50568,0.35715,1.03115,1.32262,1.07614,0.00143595,0.00143595,0.00143595
23,262.846,1.10856,1.17306,1.09361,0.49534,0.61012,0.54089,0.36016,1.0582,1.34099,1.10266,0.00142495,0.00142495,0.00142495
24,277.88,1.13217,1.21318,1.09176,0.49577,0.54527,0.50001,0.34635,1.03303,1.34916,1.07551,0.00141395,0.00141395,0.00141395
25,289.705,1.12039,1.18728,1.08558,0.50949,0.58045,0.55196,0.3766,1.07649,1.29414,1.10896,0.00140295,0.00140295,0.00140295
26,302.029,1.10715,1.18173,1.09029,0.50094,0.63341,0.57144,0.39212,1.02845,1.22,1.07253,0.00139195,0.00139195,0.00139195
27,313.869,1.12477,1.16777,1.08826,0.53126,0.58287,0.54857,0.37741,1.05887,1.27757,1.09063,0.00138094,0.00138094,0.00138094
28,325.124,1.09954,1.13756,1.08958,0.44954,0.55058,0.48707,0.32763,1.10748,1.41497,1.12367,0.00136994,0.00136994,0.00136994
29,335.863,1.10238,1.14722,1.07942,0.55327,0.58467,0.57037,0.38095,1.06836,1.33125,1.08742,0.00135894,0.00135894,0.00135894
30,347.245,1.09134,1.12436,1.07416,0.57031,0.59125,0.55765,0.36692,1.0574,1.26553,1.0985,0.00134794,0.00134794,0.00134794
31,358.203,1.09972,1.14317,1.07052,0.49452,0.60878,0.57251,0.39437,1.06226,1.26597,1.09778,0.00133693,0.00133693,0.00133693
32,369.118,1.09369,1.10221,1.07639,0.46846,0.5313,0.48279,0.33801,1.03,1.38266,1.07196,0.00132593,0.00132593,0.00132593
33,380.039,1.08127,1.13305,1.06937,0.50409,0.54225,0.49948,0.35588,1.05127,1.3629,1.09244,0.00131493,0.00131493,0.00131493
34,390.588,1.0734,1.10629,1.06666,0.55175,0.59675,0.55,0.37502,0.99917,1.28535,1.05396,0.00130393,0.00130393,0.00130393
