epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,482.011,1.05466,1.03302,1.05529,0.46716,0.65387,0.58092,0.40789,0.99425,1.39126,1.05678,0.00121591,0.00121591,0.00121591
43,493.267,1.03582,1.02069,1.05136,0.54423,0.59517,0.55941,0.39198,0.988,1.19647,1.06498,0.00120491,0.00120491,0.00120491
44,503.974,1.02956,1.00237,1.0517,0.50515,0.573,0.50674,0.36287,1.01366,1.3026,1.0657,0.00119391,0.00119391,0.00119391
45,515.091,1.06312,1.02666,1.06199,0.52725,0.59821,0.55194,0.39966,0.99167,1.17033,1.06336,0.0011829,0.0011829,0.0011829
46,526.354,1.05555,1.02788,1.0551,0.55065,0.60548,0.57631,0.40834,1.00156,1.22195,1.06558,0.0011719,0.0011719,0.0011719
47,537.358,1.03606,1.01044,1.04203,0.54498,0.57546,0.55705,0.38241,1.02784,1.21708,1.07341,0.0011609,0.0011609,0.0011609
48,547.915,1.03126,0.99935,1.05268,0.48722,0.58728,0.54782,0.38415,1.02945,1.2232,1.06792,0.0011499,0.0011499,0.0011499
49,559.128,1.04245,0.99648,1.04585,0.49656,0.6665,0.57993,0.40221,1.00567,1.18758,1.06,0.00113889,0.00113889,0.00113889
50,570.139,1.01612,0.99412,1.04502,0.51883,0.63979,0.57496,0.40464,1.02008,1.24738,1.06632,0.00112789,0.00112789,0.00112789
51,581.239,1.04033,0.99202,1.04602,0.5138,0.6292,0.57695,0.3946,1.00913,1.2463,1.08389,0.00111689,0.00111689,0.00111689
52,591.744,1.00957,0.98409,1.03472,0.56566,0.64989,0.60305,0.41505,0.99855,1.19209,1.06553,0.00110589,0.00110589,0.00110589
53,602.733,1.02391,0.98788,1.04482,0.52252,0.64033,0.5823,0.41344,0.97285,1.15696,1.05314,0.00109489,0.00109489,0.00109489
54,613.948,1.01792,0.96949,1.03913,0.52369,0.6463,0.5867,0.4161,0.99499,1.16225,1.06303,0.00108388,0.00108388,0.00108388
55,625.164,0.99862,0.98091,1.03242,0.58074,0.64061,0.62428,0.43301,0.99073,1.13128,1.05458,0.00107288,0.00107288,0.00107288
56,636.038,1.01627,0.9664,1.0277,0.53215,0.58334,0.5546,0.38862,1.01348,1.28715,1.06123,0.00106188,0.00106188,0.00106188
57,647.338,1.00315,0.95847,1.02873,0.53652,0.62577,0.59757,0.41883,1.0028,1.16952,1.06959,0.00105088,0.00105088,0.00105088
58,658.542,1.00671,0.95344,1.03287,0.54885,0.59888,0.56537,0.39923,0.98711,1.1891,1.0566,0.00103987,0.00103987,0.00103987
59,669.486,1.00273,0.9386,1.0363,0.54871,0.63827,0.58837,0.40757,1.00687,1.22756,1.05979,0.00102887,0.00102887,0.00102887
60,680.403,0.99593,0.93354,1.02626,0.52458,0.62354,0.57789,0.41221,0.99886,1.23072,1.07042,0.00101787,0.00101787,0.00101787
61,691.382,0.99124,0.92009,1.0268,0.53452,0.59403,0.55407,0.39021,0.98915,1.2346,1.06153,0.00100687,0.00100687,0.00100687
62,702.5,0.96723,0.92645,1.02771,0.55012,0.61391,0.57802,0.39806,1.01621,1.24048,1.08142,0.000995866,0.000995866,0.000995866
63,713.642,0.97726,0.92658,1.02713,0.57076,0.57149,0.57608,0.40998,1.02382,1.2258,1.07004,0.000984864,0.000984864,0.000984864
64,724.747,0.98816,0.91622,1.02035,0.51014,0.58484,0.54121,0.38883,1.01922,1.28706,1.0838,0.000973861,0.000973861,0.000973861
65,736.229,0.97814,0.89867,1.01954,0.5331,0.6488,0.58785,0.41393,1.01022,1.16743,1.07107,0.000962859,0.000962859,0.000962859
66,747.429,0.98907,0.90426,1.02153,0.54577,0.60094,0.57774,0.41279,1.01394,1.25195,1.06892,0.000951857,0.000951857,0.000951857
67,758.589,0.97028,0.88842,1.01843,0.53201,0.60838,0.57032,0.38402,1.05974,1.2594,1.09867,0.000940855,0.000940855,0.000940855
68,769.439,0.98459,0.89287,1.0252,0.51751,0.64093,0.57169,0.4029,1.01836,1.24079,1.0817,0.000929853,0.000929853,0.000929853
69,780.091,0.96314,0.86538,1.01592,0.48466,0.63449,0.57122,0.40164,1.00403,1.25604,1.08029,0.00091885,0.00091885,0.00091885
70,790.979,0.97159,0.86645,1.01958,0.50358,0.65771,0.59211,0.41805,1.01131,1.22787,1.07982,0.000907848,0.000907848,0.000907848
71,801.704,0.96365,0.87743,1.01939,0.55413,0.59753,0.5723,0.40647,0.98877,1.19567,1.07647,0.000896846,0.000896846,0.000896846
72,812.482,0.96107,0.87411,1.01626,0.56476,0.64663,0.60192,0.42375,0.99665,1.18204,1.05979,0.000885844,0.000885844,0.000885844
73,824.018,0.95243,0.84604,1.01418,0.57708,0.59837,0.60396,0.42627,0.99129,1.17776,1.06399,0.000874842,0.000874842,0.000874842
74,836.21,0.97292,0.85922,1.01646,0.57082,0.5623,0.5808,0.4173,1.00425,1.14709,1.05782,0.000863839,0.000863839,0.000863839
75,847.307,0.96075,0.84449,1.01207,0.56786,0.55584,0.58737,0.41339,0.98681,1.20134,1.05733,0.000852837,0.000852837,0.000852837
76,858.785,0.95256,0.8268,1.01002,0.59058,0.54242,0.57861,0.41514,0.9904,1.24978,1.056,0.000841835,0.000841835,0.000841835
77,874.341,0.94871,0.84824,1.00525,0.54937,0.64718,0.60587,0.4306,0.98584,1.14683,1.0608,0.000830833,0.000830833,0.000830833
78,886.259,0.95897,0.841,1.00498,0.53973,0.64361,0.6106,0.43154,0.98554,1.14534,1.0593,0.000819831,0.000819831,0.000819831
79,898.04,0.94106,0.81475,0.99883,0.60337,0.59326,0.60569,0.42594,0.99358,1.156,1.06896,0.000808828,0.000808828,0.000808828
80,909.812,0.94402,0.82318,1.01023,0.54674,0.59278,0.58991,0.41304,0.98791,1.1999,1.05464,0.000797826,0.000797826,0.000797826
81,920.8,0.94741,0.8267,1.00318,0.47144,0.50883,0.43964,0.28835,1.20296,1.6371,1.18779,0.000786824,0.000786824,0.000786824
82,931.722,0.94234,0.82559,1.00229,0.50788,0.61404,0.55431,0.39753,1.00434,1.24135,1.06789,0.000775822,0.000775822,0.000775822
83,942.589,0.93352,0.81908,0.99493,0.52666,0.62496,0.58665,0.42521,0.97489,1.16488,1.06333,0.00076482,0.00076482,0.00076482
84,953.102,0.92057,0.80177,0.99673,0.49462,0.61259,0.57161,0.40662,1.00285,1.24112,1.06823,0.000753817,0.000753817,0.000753817
85,964.006,0.92184,0.79657,0.99827,0.4983,0.65135,0.57961,0.41271,0.99405,1.17082,1.06779,0.000742815,0.000742815,0.000742815
