epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0505,1.39353,2.9785,1.28435,0.0082,0.61941,0.07273,0.06035,1.1671,3.44387,1.17327,0.000541775,0.000541775,0.000541775
2,17.3596,1.31917,2.1269,1.17588,0.34137,0.08008,0.14814,0.08714,1.25136,3.00122,1.16237,0.0010902,0.0010902,0.0010902
3,24.6771,1.27103,1.97745,1.13917,0.37224,0.38236,0.32868,0.20737,1.36303,2.12826,1.22764,0.00163129,0.00163129,0.00163129
4,31.8726,1.26729,1.90071,1.17034,0.33082,0.38845,0.29247,0.1962,1.23578,2.15677,1.20475,0.00163399,0.00163399,0.00163399
5,39.1578,1.24644,1.81094,1.13792,0.32553,0.48459,0.34646,0.23921,1.11987,1.94938,1.11418,0.00162299,0.00162299,0.00162299
6,46.5294,1.22307,1.67927,1.10259,0.31305,0.40933,0.30597,0.21701,1.1561,2.02869,1.1488,0.00161199,0.00161199,0.00161199
7,53.8067,1.231,1.65946,1.12536,0.37757,0.51851,0.39644,0.28296,1.065,1.91371,1.09392,0.00160099,0.00160099,0.00160099
8,60.9174,1.18611,1.55991,1.10481,0.34926,0.52591,0.36678,0.24287,1.1936,1.83811,1.1465,0.00158998,0.00158998,0.00158998
9,68.3366,1.14818,1.56074,1.10983,0.38633,0.50505,0.41395,0.29908,1.08164,1.669,1.09989,0.00157898,0.00157898,0.00157898
10,75.6491,1.16986,1.59833,1.1059,0.35094,0.48137,0.34107,0.23705,1.09441,1.71413,1.08377,0.00156798,0.00156798,0.00156798
11,82.8301,1.19539,1.5663,1.11302,0.36935,0.53209,0.38562,0.2617,1.13344,1.88021,1.12845,0.00155698,0.00155698,0.00155698
12,90.2318,1.12379,1.45268,1.0792,0.47099,0.5102,0.46456,0.32574,1.08701,1.56992,1.09008,0.00154598,0.00154598,0.00154598
13,97.6114,1.13244,1.45979,1.08534,0.44003,0.51285,0.43933,0.29408,1.10539,1.62869,1.09737,0.00153497,0.00153497,0.00153497
14,104.816,1.13632,1.46871,1.07409,0.39841,0.55746,0.44099,0.31289,1.04887,1.5834,1.07304,0.00152397,0.00152397,0.00152397
