epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0664,1.39552,2.65321,1.2832,0.81773,0.0511,0.13697,0.098,1.1963,3.1265,1.26825,0.000546406,0.000546406,0.000546406
2,25.4727,1.3259,1.93924,1.21784,0.2533,0.30444,0.19872,0.12585,1.3198,2.24136,1.22705,0.0010948,0.0010948,0.0010948
3,36.5968,1.34881,1.83891,1.20781,0.31938,0.34047,0.27228,0.17583,1.25678,2.21205,1.23659,0.00163586,0.00163586,0.00163586
4,47.5112,1.3253,1.68613,1.20364,0.41102,0.42156,0.3763,0.2368,1.16436,1.75713,1.15605,0.00163399,0.00163399,0.00163399
5,58.2329,1.29478,1.63076,1.18394,0.43208,0.46132,0.43889,0.27408,1.15196,1.67266,1.15135,0.00162299,0.00162299,0.00162299
6,69.0405,1.24829,1.61099,1.1705,0.32073,0.57422,0.3862,0.25464,1.12274,2.59358,1.13523,0.00161199,0.00161199,0.00161199
7,80.4566,1.23836,1.53504,1.165,0.38559,0.50925,0.42175,0.2831,1.11503,1.70816,1.13153,0.00160099,0.00160099,0.00160099
8,91.6816,1.259,1.48077,1.16503,0.47353,0.49873,0.48718,0.3324,1.05514,1.56289,1.09037,0.00158998,0.00158998,0.00158998
9,102.86,1.18549,1.41619,1.13549,0.33019,0.49713,0.36584,0.24732,1.11678,1.6623,1.14201,0.00157898,0.00157898,0.00157898
10,114.387,1.19056,1.35755,1.13324,0.46743,0.52855,0.5059,0.34508,1.11492,1.48376,1.12627,0.00156798,0.00156798,0.00156798
11,125.854,1.20556,1.37538,1.13263,0.48681,0.57958,0.50112,0.3269,1.07656,1.4196,1.10605,0.00155698,0.00155698,0.00155698
12,136.941,1.19337,1.37827,1.13244,0.42221,0.44303,0.38042,0.25711,1.17191,1.70888,1.15453,0.00154598,0.00154598,0.00154598
