epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1347,1.38727,2.93599,1.26828,0.01041,0.6796,0.01592,0.01087,1.1319,3.55117,1.17653,0.000541775,0.000541775,0.000541775
2,23.01,1.31427,2.11911,1.17612,0.74552,0.09965,0.16512,0.10414,1.20786,2.91789,1.1549,0.0010902,0.0010902,0.0010902
3,30.7618,1.2705,1.9547,1.14229,0.36302,0.36823,0.32903,0.21735,1.25256,2.04922,1.16852,0.00163129,0.00163129,0.00163129
4,38.417,1.26538,1.88904,1.17536,0.35344,0.39347,0.33348,0.21055,1.23524,2.06495,1.21143,0.00163399,0.00163399,0.00163399
5,46.2818,1.27133,1.81928,1.15343,0.39885,0.4686,0.38668,0.27085,1.11265,1.84246,1.1212,0.00162299,0.00162299,0.00162299
6,54.1273,1.22517,1.69823,1.11334,0.37638,0.49488,0.34159,0.24022,1.16275,1.96107,1.13078,0.00161199,0.00161199,0.00161199
7,62.6814,1.22733,1.68094,1.12619,0.37181,0.47639,0.39638,0.28518,1.13337,1.69211,1.13454,0.00160099,0.00160099,0.00160099
8,71.5192,1.2008,1.5721,1.11413,0.30816,0.46708,0.31326,0.22145,1.1111,1.9665,1.12849,0.00158998,0.00158998,0.00158998
9,80.2086,1.15969,1.58211,1.11523,0.33727,0.43397,0.3229,0.21833,1.14867,1.85749,1.12084,0.00157898,0.00157898,0.00157898
10,88.083,1.16286,1.58005,1.1046,0.32655,0.49657,0.36285,0.25233,1.1248,1.64383,1.11225,0.00156798,0.00156798,0.00156798
11,96.2951,1.17125,1.55179,1.10398,0.38667,0.51422,0.37254,0.24556,1.18291,1.88858,1.1762,0.00155698,0.00155698,0.00155698
12,104.165,1.12074,1.45396,1.07754,0.38009,0.56392,0.40293,0.28727,1.06785,1.73802,1.07562,0.00154598,0.00154598,0.00154598
13,114.575,1.12869,1.47714,1.08857,0.443,0.49962,0.43441,0.29271,1.13089,1.58072,1.13262,0.00153497,0.00153497,0.00153497
14,123.531,1.12795,1.455,1.077,0.35667,0.55231,0.42723,0.30398,1.0466,1.86089,1.08906,0.00152397,0.00152397,0.00152397
15,132.538,1.16522,1.41774,1.08626,0.42283,0.58158,0.45677,0.3187,1.08857,1.5769,1.07756,0.00151297,0.00151297,0.00151297
16,141.771,1.1271,1.37545,1.07616,0.46363,0.55056,0.45838,0.28665,1.1773,1.61901,1.12828,0.00150197,0.00150197,0.00150197
17,149.82,1.05397,1.33106,1.0434,0.33855,0.51892,0.36703,0.26668,1.03697,1.82518,1.10259,0.00149096,0.00149096,0.00149096
18,157.719,1.1183,1.36155,1.07022,0.37371,0.54384,0.41986,0.294,1.06987,1.5353,1.08688,0.00147996,0.00147996,0.00147996
19,165.526,1.09417,1.31134,1.06588,0.45966,0.51078,0.47116,0.34993,0.99146,1.54146,1.05524,0.00146896,0.00146896,0.00146896
