epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,310.293,0.95695,1.04312,1.00673,0.55598,0.56472,0.54571,0.3817,1.02493,1.35803,1.05378,0.00121591,0.00121591,0.00121591
43,317.624,0.97709,1.04851,1.00935,0.5343,0.48629,0.51697,0.3777,1.00079,1.39196,1.0482,0.00120491,0.00120491,0.00120491
44,324.79,0.99537,1.05105,1.01256,0.53562,0.5368,0.52423,0.39469,1.00508,1.55956,1.04948,0.00119391,0.00119391,0.00119391
45,332.417,0.96648,1.02631,0.9965,0.41241,0.60982,0.49252,0.36772,1.03714,1.54278,1.08327,0.0011829,0.0011829,0.0011829
46,339.735,0.96097,1.0326,0.99767,0.42908,0.51663,0.45029,0.32939,1.04761,1.80489,1.08731,0.0011719,0.0011719,0.0011719
47,347.099,0.96242,1.01112,1.00133,0.44879,0.56286,0.46445,0.32891,1.01512,1.46069,1.042,0.0011609,0.0011609,0.0011609
48,354.467,0.95334,0.98586,0.9963,0.52529,0.55362,0.53166,0.37906,1.01627,1.39262,1.04684,0.0011499,0.0011499,0.0011499
49,361.624,0.95872,1.00138,0.98932,0.46463,0.59259,0.49129,0.35576,1.00993,1.40791,1.05898,0.00113889,0.00113889,0.00113889
50,368.905,0.94927,0.98258,0.99037,0.49969,0.53352,0.45291,0.33452,1.00434,1.54761,1.04728,0.00112789,0.00112789,0.00112789
51,376.438,0.95485,0.99361,0.98498,0.49527,0.61195,0.50148,0.36442,1.00843,1.40425,1.06224,0.00111689,0.00111689,0.00111689
52,383.893,0.93602,0.98991,0.98674,0.48931,0.55758,0.52128,0.37142,0.99998,1.41786,1.0556,0.00110589,0.00110589,0.00110589
53,391.31,0.91846,0.94649,0.98531,0.50154,0.59831,0.54262,0.40493,0.96828,1.39974,1.01824,0.00109489,0.00109489,0.00109489
54,399.153,0.92315,0.95044,0.98042,0.57725,0.52178,0.54139,0.39013,1.00107,1.39156,1.05553,0.00108388,0.00108388,0.00108388
55,407.103,0.91975,0.97982,0.97965,0.51147,0.55938,0.52881,0.39456,0.9986,1.41112,1.04318,0.00107288,0.00107288,0.00107288
56,415.413,0.91902,0.94563,0.98057,0.51911,0.53854,0.54244,0.40132,0.95051,1.34033,1.01756,0.00106188,0.00106188,0.00106188
57,424.134,0.91494,0.91219,0.97415,0.50415,0.59862,0.57005,0.41915,0.99027,1.31345,1.06338,0.00105088,0.00105088,0.00105088
58,431.495,0.89863,0.89931,0.96098,0.52509,0.53389,0.51284,0.38332,0.96999,1.44543,1.03439,0.00103987,0.00103987,0.00103987
59,438.897,0.91917,0.92611,0.98153,0.52011,0.64382,0.57783,0.41757,0.98191,1.26875,1.04856,0.00102887,0.00102887,0.00102887
60,446.377,0.89965,0.89915,0.97329,0.42239,0.54725,0.47067,0.3488,0.97801,1.69137,1.05435,0.00101787,0.00101787,0.00101787
61,453.636,0.91215,0.91106,0.98242,0.53416,0.5453,0.53975,0.39882,1.00343,1.38068,1.06238,0.00100687,0.00100687,0.00100687
62,463.247,0.87029,0.88667,0.96118,0.52041,0.55234,0.51258,0.36407,1.00809,1.39737,1.05257,0.000995866,0.000995866,0.000995866
63,472.954,0.90902,0.90384,0.97222,0.51231,0.56867,0.55137,0.39971,0.9945,1.32122,1.05003,0.000984864,0.000984864,0.000984864
64,481.34,0.9018,0.8736,0.97262,0.55603,0.54187,0.55238,0.40004,1.00891,1.37788,1.05688,0.000973861,0.000973861,0.000973861
65,489.024,0.89161,0.8839,0.97089,0.49954,0.55028,0.51985,0.37139,1.02051,1.33979,1.06194,0.000962859,0.000962859,0.000962859
66,496.523,0.9109,0.86829,0.96821,0.51856,0.52489,0.51359,0.38108,1.01906,1.52974,1.04894,0.000951857,0.000951857,0.000951857
67,504.275,0.87884,0.86022,0.96313,0.46439,0.64165,0.53036,0.39338,1.00374,1.36059,1.04925,0.000940855,0.000940855,0.000940855
68,511.803,0.90557,0.84423,0.97105,0.48282,0.56093,0.47165,0.34556,1.01484,1.64634,1.07087,0.000929853,0.000929853,0.000929853
69,518.999,0.87464,0.86154,0.96051,0.54533,0.51082,0.50939,0.37647,0.98808,1.50674,1.05561,0.00091885,0.00091885,0.00091885
70,526.3,0.88806,0.8213,0.9591,0.49327,0.611,0.52963,0.38952,0.98262,1.41425,1.04428,0.000907848,0.000907848,0.000907848
71,533.503,0.88502,0.83452,0.96652,0.51011,0.57017,0.5331,0.38763,1.01016,1.40634,1.07179,0.000896846,0.000896846,0.000896846
72,540.659,0.88927,0.86757,0.97225,0.5254,0.53721,0.49879,0.36337,1.02776,1.41836,1.07933,0.000885844,0.000885844,0.000885844
73,548.006,0.89092,0.84359,0.96496,0.47459,0.53208,0.49342,0.3558,1.04487,1.51883,1.0754,0.000874842,0.000874842,0.000874842
74,555.261,0.87525,0.82833,0.96219,0.51467,0.55098,0.51644,0.37549,1.04125,1.43907,1.06923,0.000863839,0.000863839,0.000863839
75,562.606,0.85598,0.82489,0.95392,0.50036,0.58662,0.5161,0.37695,1.00975,1.42869,1.0663,0.000852837,0.000852837,0.000852837
76,569.884,0.84867,0.81058,0.95,0.47097,0.57011,0.50396,0.3723,1.0154,1.52652,1.06549,0.000841835,0.000841835,0.000841835
77,576.942,0.88246,0.81068,0.9587,0.60052,0.48917,0.51961,0.38069,1.02577,1.49713,1.04695,0.000830833,0.000830833,0.000830833
